GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MongoJack,org.mongojack.internal,MongoJackModule,0,68,0,0,0,17,0,6,0,6
MongoJack,org.mongojack.internal,MongoJackSerializers,0,32,0,0,0,7,0,1,0,1
MongoJack,org.mongojack.internal,MongoJackDeserializers,5,55,1,3,1,12,1,3,0,2
MongoJack,org.mongojack.internal,DateSerializer,0,3,0,0,0,1,0,1,0,1
MongoJack,org.mongojack.internal,DBRefSerializer,6,38,2,2,2,13,2,4,0,4
MongoJack,org.mongojack.internal,MongoJackInstantDeserializer,7,40,1,5,2,9,2,5,1,3
MongoJack,org.mongojack.internal,DBRefDeserializer,59,88,12,12,13,26,9,6,0,3
MongoJack,org.mongojack.internal,EmbeddedObjectSerializer,61,19,5,3,14,6,3,4,0,3
MongoJack,org.mongojack.internal,MongoSerializer,5,24,1,3,1,6,1,3,0,2
MongoJack,org.mongojack.internal,UUIDSerializer,4,3,0,0,2,1,1,1,1,1
MongoJack,org.mongojack.internal,ObjectIdSerializer,19,92,3,15,4,25,3,10,0,4
MongoJack,org.mongojack.internal,ObjectIdDeserializers.ToByteArrayDeserializer,42,15,6,2,9,5,4,2,0,2
MongoJack,org.mongojack.internal,DateDeserializer,9,19,2,2,2,7,2,2,0,2
MongoJack,org.mongojack.internal,CalendarDeserializer,0,38,0,6,0,13,0,5,0,2
MongoJack,org.mongojack.internal,UUIDDeserializer,19,3,4,0,6,1,3,1,1,1
MongoJack,org.mongojack.internal,MongoAnnotationIntrospector,28,151,7,27,7,43,5,21,0,9
MongoJack,org.mongojack.internal,ObjectIdDeserializers,3,0,0,0,1,0,1,0,1,0
MongoJack,org.mongojack.internal,ObjectIdDeserializers.ToObjectIdDeserializer,55,0,8,0,14,0,6,0,2,0
MongoJack,org.mongojack.internal,CalendarSerializer,0,3,0,0,0,1,0,1,0,1
MongoJack,org.mongojack.internal,ObjectIdDeserializers.ToStringDeserializer,42,15,6,2,9,5,4,2,0,2
MongoJack,org.mongojack.internal.object,BsonObjectGenerator.ObjectNode,0,26,0,0,0,7,0,3,0,3
MongoJack,org.mongojack.internal.object,BsonObjectCursor,175,0,46,0,49,0,28,0,5,0
MongoJack,org.mongojack.internal.object,BsonObjectGenerator.ArrayNode,0,24,0,0,0,7,0,3,0,3
MongoJack,org.mongojack.internal.object,BsonObjectCursor.ObjectCursor,65,0,6,0,18,0,8,0,5,0
MongoJack,org.mongojack.internal.object,BsonObjectGenerator,333,140,36,10,114,39,61,19,36,14
MongoJack,org.mongojack.internal.object,BsonObjectGenerator.Node,0,25,0,0,0,9,0,4,0,4
MongoJack,org.mongojack.internal.object,BsonObjectGenerator.RootValueNode,5,16,0,0,1,5,1,2,1,2
MongoJack,org.mongojack.internal.object,BsonObjectTraversingParser,397,0,61,0,115,0,63,0,32,0
MongoJack,org.mongojack.internal.object,BsonObjectCursor.ArrayCursor,34,0,2,0,11,0,6,0,5,0
MongoJack,org.mongojack.internal.util,IdHandler.JacksonIdHandler,51,0,0,0,15,0,3,0,3,0
MongoJack,org.mongojack.internal.util,DocumentSerializationUtils,384,1109,72,140,98,282,52,77,2,21
MongoJack,org.mongojack.internal.util,MapReduceIterableDecorator,127,33,2,0,26,11,22,5,21,5
MongoJack,org.mongojack.internal.util,DistinctIterableDecorator,96,0,2,0,23,0,14,0,13,0
MongoJack,org.mongojack.internal.util,VersionUtils,10,0,0,0,2,0,2,0,2,0
MongoJack,org.mongojack.internal.util,IdHandlerFactory,57,0,12,0,18,0,8,0,2,0
MongoJack,org.mongojack.internal.util,IdHandler.NoopIdHandler,7,0,0,0,3,0,3,0,3,0
MongoJack,org.mongojack.internal.util,JacksonAccessor,84,118,0,4,20,25,4,11,4,9
MongoJack,org.mongojack.internal.util,FindIterableDecorator,139,53,1,1,29,13,26,7,25,7
MongoJack,org.mongojack.internal.update,ComplexUpdateOperationValue,2,11,0,0,1,5,1,3,1,3
MongoJack,org.mongojack.internal.update,MultiUpdateOperationValue,9,41,0,0,3,14,2,5,2,5
MongoJack,org.mongojack.internal.update,SingleUpdateOperationValue,0,21,0,0,0,8,0,4,0,4
MongoJack,org.mongojack.internal.stream,ObjectIdConvertor,3,74,0,0,1,6,1,3,1,3
MongoJack,org.mongojack.internal.stream,JacksonDBObject,23,3,0,0,10,1,5,1,5,1
MongoJack,org.mongojack.internal.stream,DBEncoderBsonGenerator,0,61,0,8,0,19,0,6,0,2
MongoJack,org.mongojack.internal.stream,DBDecoderBsonParser,39,33,11,3,10,10,7,4,1,3
MongoJack,org.mongojack.internal.stream,ServerErrorProblemHandler,13,3,2,0,3,1,2,1,1,1
MongoJack,org.mongojack.internal.stream,JacksonDecoder,7,77,0,0,2,15,0,4,0,4
MongoJack,org.mongojack.internal.stream,JacksonEncoder,13,70,0,0,4,20,0,4,0,4
MongoJack,org.mongojack.internal.stream,OutputBufferOutputStream,11,22,0,0,3,7,1,3,1,3
MongoJack,org.mongojack.internal.stream,JacksonCodec,165,406,38,60,37,104,31,42,2,22
MongoJack,org.mongojack,Aggregation.Pipeline,91,117,0,0,16,23,16,12,16,12
MongoJack,org.mongojack,JacksonMongoCollection,194,349,7,17,27,77,19,37,12,32
MongoJack,org.mongojack,Aggregation.AbstractStage,0,17,0,0,0,4,0,2,0,2
MongoJack,org.mongojack,Aggregation.Match,37,26,0,0,10,8,6,4,6,4
MongoJack,org.mongojack,DBProjection.ProjectionBuilder,0,48,0,4,0,6,0,4,0,2
MongoJack,org.mongojack,Aggregation.Limit,0,10,0,0,0,4,0,2,0,2
MongoJack,org.mongojack,Aggregation.Skip,10,0,0,0,4,0,2,0,2,0
MongoJack,org.mongojack,Aggregation.Group,116,61,0,0,17,13,16,9,16,9
MongoJack,org.mongojack,Aggregation.Expression,490,83,0,0,41,9,41,9,41,9
MongoJack,org.mongojack,Aggregation.Project,37,43,0,0,8,10,5,5,5,5
MongoJack,org.mongojack,Aggregation.Sort,14,10,0,0,4,4,2,2,2,2
MongoJack,org.mongojack,JacksonCollectionKey,15,88,11,11,0,18,11,7,0,7
MongoJack,org.mongojack,MongoCollectionDecorator,921,117,0,0,147,16,122,15,122,15
MongoJack,org.mongojack,Aggregation.Group.Op,0,84,0,0,0,1,0,1,0,1
MongoJack,org.mongojack,JacksonCodecRegistry,0,90,0,0,0,19,0,6,0,6
MongoJack,org.mongojack,AbstractListDecorator,141,16,0,0,34,4,29,4,29,4
MongoJack,org.mongojack,DbReferenceManager,17,128,0,0,3,27,2,9,2,9
MongoJack,org.mongojack,DBQuery.AbstractBuilder,6,222,0,2,1,31,1,24,1,23
MongoJack,org.mongojack,DBProjection,3,14,0,0,1,2,1,2,1,2
MongoJack,org.mongojack,Aggregation.ExpressionObject,10,0,0,0,4,0,2,0,2,0
MongoJack,org.mongojack,Aggregation.OperatorExpression,0,16,0,0,0,6,0,3,0,3
MongoJack,org.mongojack,Aggregation.SimpleStage,8,4,0,0,2,1,2,1,2,1
MongoJack,org.mongojack,Aggregation.Group.Accumulator,0,9,0,0,0,4,0,1,0,1
MongoJack,org.mongojack,Aggregation.Out,0,10,0,0,0,4,0,2,0,2
MongoJack,org.mongojack,Aggregation.Literal,0,9,0,0,0,4,0,2,0,2
MongoJack,org.mongojack,DBUpdate,3,138,0,0,1,20,1,20,1,20
MongoJack,org.mongojack,JacksonMongoCollection.JacksonMongoCollectionBuilder,44,21,2,0,7,5,5,3,4,3
MongoJack,org.mongojack,DBSort.SortBuilder,0,16,0,0,0,4,0,2,0,2
MongoJack,org.mongojack,DBSort,3,14,0,0,1,2,1,2,1,2
MongoJack,org.mongojack,Aggregation.Unwind,0,14,0,0,0,4,0,2,0,2
MongoJack,org.mongojack,DBQuery.Query,23,138,5,11,4,28,4,11,0,7
MongoJack,org.mongojack,Aggregation,64,42,0,0,8,4,8,4,8,4
MongoJack,org.mongojack,Aggregation.FieldPath,11,26,1,1,1,6,1,2,0,2
MongoJack,org.mongojack,MongoJsonMappingException,19,0,0,0,8,0,4,0,4,0
MongoJack,org.mongojack,DBQuery,21,180,0,0,3,21,3,21,3,21
MongoJack,org.mongojack,DBRef,11,54,1,1,3,17,3,5,2,5
MongoJack,org.mongojack,DBUpdate.Builder,11,286,0,2,1,43,1,26,1,25
MongoJack,org.mongojack.internal.query,SimpleQueryCondition,0,24,0,0,0,10,0,4,0,4
MongoJack,org.mongojack.internal.query,CollectionQueryCondition,6,32,0,0,2,12,1,5,1,5
MongoJack,org.mongojack.internal.query,CompoundQueryCondition,0,15,0,0,0,6,0,3,0,3
MongoJack,org.mongojack.internal.object.document,DocumentObjectGenerator.ObjectNode,26,0,0,0,7,0,3,0,3,0
